question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
"Was ist die Hauptstadt von Italien?","Rom","Mailand","Venedig","Florenz"
"Wer entdeckte Amerika?","Christoph Kolumbus","Marco Polo","James Cook","Ferdinand Magellan"
"Welches Tier ist das größte Säugetier der Welt?","Blauwal","Elefant","Giraffe","Orca"
"Was ist die kleinste Primzahl?","2","1","0","3"
"Welcher Schriftsteller erfand Sherlock Holmes?","Arthur Conan Doyle","Agatha Christie","Edgar Allan Poe","Jules Verne"
"Welche Sprache hat die meisten Muttersprachler?","Mandarin-Chinesisch","Englisch","Spanisch","Hindi"
"Welches Land ist flächenmäßig das größte der Erde?","Russland","Kanada","USA","China"
"Wer formulierte die Relativitätstheorie?","Albert Einstein","Isaac Newton","Nikola Tesla","Galileo Galilei"
"In welchem Organ des menschlichen Körpers wird Insulin produziert?","Bauchspeicheldrüse","Leber","Niere","Herz"
"Wie viele Kontinente gibt es auf der Erde?","7","5","6","8"
"Welches Metall leitet Elektrizität am besten?","Silber","Gold","Kupfer","Aluminium"
"Wer schrieb 'Faust'?","Johann Wolfgang von Goethe","Friedrich Schiller","Gotthold Ephraim Lessing","Heinrich Heine"
"Welche Farben enthält die deutsche Flagge?","Schwarz, Rot, Gold","Schwarz, Weiß, Rot","Blau, Weiß, Rot","Rot, Weiß, Grün"
"Wie viele Planeten hat unser Sonnensystem?","8","7","9","10"
"Welcher Ozean liegt zwischen Afrika und Australien?","Indischer Ozean","Atlantischer Ozean","Pazifischer Ozean","Arktischer Ozean"
"Welches Land gewann die Fußball-WM 2014?","Deutschland","Argentinien","Brasilien","Spanien"
"Was ist die Hauptstadt von Australien?","Canberra","Sydney","Melbourne","Brisbane"
"Welches Gas ist am häufigsten in der Atmosphäre?","Stickstoff","Sauerstoff","Kohlendioxid","Argon"
"Wer malte 'Die Sternennacht'?","Vincent van Gogh","Claude Monet","Paul Cézanne","Pablo Picasso"
"Welches ist das härteste natürliche Material?","Diamant","Gold","Eisen","Titan"
"Was ist die Hauptstadt von Frankreich?","Paris","London","Berlin","Madrid"
"Wer hat 'Die Verwandlung' geschrieben?","Franz Kafka","Erich Kästner","Thomas Mann","Hermann Hesse"
"Welches ist das größte Meer der Welt?","Pazifik","Atlantik","Indischer Ozean","Arktischer Ozean"
"In welchem Jahr fiel die Berliner Mauer?","1989","1991","1987","1990"
"Was ist das chemische Symbol für Wasser?","H2O","CO2","NaCl","O2"
"Wer malte die Mona Lisa?","Leonardo da Vinci","Vincent van Gogh","Pablo Picasso","Claude Monet"
"Welcher Planet ist der größte in unserem Sonnensystem?","Jupiter","Mars","Saturn","Erde"
"Welches Element hat die Ordnungszahl 1?","Wasserstoff","Helium","Sauerstoff","Kohlenstoff"
"Was ist das schnellste Landtier?","Gepard","Löwe","Antilope","Leopard"
"Welcher Fluss fließt durch London?","Thames","Seine","Rhein","Elbe"
